question_id,question_text,option_a,option_b,option_c,option_d,option_e,correct_answer_id
12,Maddi istehsal resurslarına aid deyil:,kənd təsərrüfat əhəmiyyətli resurslar,tikinti əhəmiyyətli resurslar,sənaye əhəmiyyətli resurslar,iqlim resursları,sənaye və tikinti əhəmiyyətli resurslar,d
13,Təsərrüfat və ya iqtisadi əhəmiyyətli resurslar bölünür:,maddi istehsal və xidmət sahələrinin resursları,su və meşə resursları,tikinti və nəqliyyat sahəsinin resursları,torpaq və iqlim resursları,sənaye və kömür resursları,a
14,Hər hansı bir regionun təbii resurslarının məcmuu adlanır:,iqlim potensialı,neft-qaz potensialı,su ehtiyatı,meşə potensialı,təbii-resurs potensialı,e
15,Eyni təbii ehtiyatın müxtəlif məqsədlərlə istifadəsindən alınan gəlir necə adlanır?,məsrəf,qarışıq,differensial qiymət,renta,alternativ dəyər,e
16,Təbii ehtiyatlar alınır:,Günəş enercisindən.,Təbii amillərdən.,Təbii ünsürlərdən.,Hidrosferdən,Atmosferdən,c
17,Təbii ehtiyatlar bu istehsalda iştirak edir:,Emal sahəsinin dərinləşməsi;,İstehsalın təmərküzləşməsində;,Maddi nemətlər istehsalı;,İstehsalın kooperasiyasında.,Sosial sahələr;,c
18,Maddi nemətlər istehsalında iştirak edir:,Havanın rütubəti;,Təbii ehtiyatlar.,Atmosfer təzyiqi;,Relyef;,İqlim;,b
19,Maddi nemətlər istehsalında iştirak etmir:,Təbii ehtiyatlar;,Hasilat sənayesi;,Kənd təsərrüfatı;,Sənaye;,Təbii şərait.,e
20,Təbii şərait təsir edir:,Sistemləşməyə;,İstehsalın yerləşməsinə;,Kooperasiyaya,İstehsalın təmərküzləşməsinə;,Elmin inkişafına.,b
21,Təbii ehtiyatlar təsir edir:,Relyefə;,İqlimə.,Ərazinin abadlaşmasına;,İstehsalın inkişafına;,Elmin inkişafına;,d
22,Dayanıqlı inkişafın əsas xüsusiyyəti hansıdır?,Təbii resursların məhdud şəkildə istifadəsi,Resursların tam şəkildə istehlakı,Hazırkı ehtiyacları təmin edərkən gələcək nəsillərin ehtiyaclarını qorumaq,Texnologiyanın üstünlüklərindən maksimum istifadə etmək,Resursların yalnız iqtisadi məqsədlər üçün istifadəsi,c
23,Hansı fikirlər elmi sosializmin yaradıcılarına aid edilə bilər?,Təbiətdən istifadə metodlarının tamamilə iqtisadi əsaslarla qurulması,Əkin sahələrinin genişləndirilməsi ilə məhsuldarlığın artırılması,Bərpa olunmayan resursların istifadəsinin məhdudlaşdırılması,Təbiətlə cəmiyyət arasındakı qarşılıqlı əlaqələrin ictimai siniflərə təsiri,Təbiətə təsirin yalnız insan əməyi ilə mümkünlüyü,d
24,Texnoloji proseslər tullantıların artırılmasını nəzərdə tutur.,2 və 3,"1, 2 və 4","1, 3 və 4",1 və 2,"1, 2 və 3",d
25,Təbiətdən səmərəli istifadəni təmin edən intensiv üsulun əsas məqsədi nədir?,Ətraf mühitin tam dəyişdirilməsi,Kimyəvi gübrələrdən maksimum istifadə,Təbiətin gücünün insan əməyi ilə tam əvəz olunması,Resursların tullantısız texnologiyalarla emalı,Torpaq ehtiyatlarının artırılması,d
26,"Hansı alim ""Təcrid olunmuş dövlət"" əsərində kənd təsərrüfatının ərazi təşkilinə dair ideyalar irəli sürmüşdür?",Ş.İ.Monteskye,D.İ.Mendeleyev,İ.Q.Tyünen,A.Humbolt,K.Ritter,c
27,Aztullantılı texnologiya ilə nə əldə olunur?,Əkinçilikdə məhsuldarlığın azalması,Sənaye tullantılarının məhv edilməsi,İnsan fəaliyyətindən tamamilə imtina,Ətraf mühitin çirklənməsinin azaldılması və tullantıların təkrar emalı,Torpaq sahələrinin artırılması,d
28,Təbii resursların istismarı zamanı hansı üsul tətbiq edilir?,Resursların artırılması üçün təbii komplekslərin dəyişdirilməsi,Torpaq sahələrinin genişləndirilməsi,Bərpa olunmayan resurslardan yalnız minimum istifadə,Bütün resursların bərpa olunması,Resursların tullantısız texnologiyalarla istismarı,e
29,İntensivləşmə dedikdə nə nəzərdə tutulur?,Əkinçilikdən imtina edilməsi,Əkinçilikdə yalnız üzvi gübrələrin istifadəsi,Torpaq sahələrinin artırılması,Təbiətdən qeyri-səmərəli istifadə,Vahid torpaq sahəsinə və ya heyvan başına artan istehsal vasitələrinin tətbiqi,e
30,Dünya əhalisinin ərzaq təminatının əsas mənbəyi nədir?,Dənizlər,Heyvandarlıq,Mədənlər,Əkin sahələri,Meşələr,d
31,Tullantısız texnologiyanın məqsədi nədir?,Kimyəvi gübrələrin istifadəsini artırmaq,Torpaqların genişləndirilməsi,İnsan əməyi olmadan məhsul istehsalı,Tullantıların minimal səviyyəyə endirilməsi,Yeni torpaq sahələrinin istifadəsi,d
32,Ekstensiv istifadə üsulu nə ilə xarakterizə olunur?,İnsan əməyi olmadan istifadə,Texnologiyanın tətbiqi ilə istifadə,Torpaq resurslarının artırılması,Təbii resursların qeyri-səmərəli istifadəsi,Təbii resurslardan səmərəli istifadə,d
33,Təbiətə olan antropogen yükün azalması necə təmin edilir?,Səmərəsiz istismar metodlarından istifadə ilə,Çirkləndirici mənbələrin artırılması ilə,Təbii ehtiyatların artırılması ilə,Torpağın maksimum istismarı ilə,,c
34,Təbii sərvətlərin səmərəli istifadəsinin əsas məqsədi nədir?,İnsan sağlamlığını qorumaq və perspektiv inkişafı təmin etmək,Faydalı qazıntıların çıxarılması üçün sərfiyyat artırmaq,Yeni təbii resursların tədqiqi,Tullantıların həcmini artırmaq,,a
35,Filizçay yatağının düzgün istismarı ilə respublika ehtiyaclarını neçə ilə ödəmək mümkündür?,50 il,150 il,75 il,100 il,,d
36,Səhralaşma hansı antropogen faktorlar nəticəsində sürətlənir?,İqlim dəyişiklikləri,Təbii fəlakətlər,Torpağın həddindən artıq istismarı,Hava çirklənməsi,,c
37,Dünya okeanının enerjisindən istifadə əsasən hansı sahələrdə həyata keçirilir?,Külək enerjisinin istehsalında,"Qabarma-çəkilmə dalğaları, bu da ABŞ, Rusiya və Fransa kimi ölkələrdə tətbiq edilir",Yerin daxili istiliyindən istifadə üçün,Günəş panelləri quraşdırmaq üçün,Vulkanik enerjidən istifadə üçün,b
38,Hidrosferin çirklənməsi ətraf mühitə necə təsir edir?,Təkcə buzlaqlarda suyun azalmasına səbəb olur,"Su mühitinə daxil olan zərərli maddələr ekosistemin balansını pozur, oksigen miqdarını azaldır və orqanizmlərin yaşamasını çətinləşdirir",Çirklənmə su dövranını sürətləndirir,Çirklənmə sadəcə oksigen miqdarını azaldır,Suyun duzluluğunu artırır,b
39,Okeanlarda ən şəffaf su hansı ərazilərdə müşahidə olunur?,Şimal enliklərində,Dərin okean çökəkliklərində,Mülayim qurşaqlarda,Subtropik və tropik enliklərdə,Qütb zonalarında,d
40,Okeanlarda suda həll olmuş oksigenin miqdarı dərinliklə necə dəyişir?,"Əvvəl artır, sonra azalır","Azalır, çünki dərin qatlarda oksigen çatdırılması məhdud olur","Dəyişmir, çünki hər dərinlikdə oksigen sabitdir","Artır, çünki təzyiq yüksək olur","Artır, çünki sular soyuyur",b
41,Xəzər dənizində hansı balıq növləri əsasən ovlanır?,Karideslər,Som balıqları,Dəniz ulduzları,Qızılbalıqlar,Nərə balığı və ağ balıq,e
42,Xəzər dənizinin çirklənməsinə əsas səbəb nədir?,Atmosferin təsiri ilə duzların çoxalması,Su bitkilərinin çoxalması,Səthdə olan su buxarının azalması,Neft hasilatı və nəqli zamanı tullantıların ətraf mühitə buraxılması,Kür çayının su axını zəifləməsi,d
43,Xəzər dənizində ən yüksək su temperaturu hansı göstəriciyə çatır?,"37,2°C",25°C,30°C,15°C,20°C,a
44,Xəzər dənizinin suyun duzluluğu hansı zonada ən yüksəkdir?,"Şərq sahillərində, çünki Türkmənistanın yaxınlığında axarsız hövzələr mövcuddur","Şimal zonasında, çünki Volqa çayı çoxlu su gətirir","Mərkəzi zonada, çünki burada suyun sirkulyasiyası zəifdir","Mərkəzi zonada, çünki burada suyun sirkulyasiyası zəifdir.Cənub zonasında","Kür-Araz deltası yaxınlığında, çünki çayların təsiri var",d
45,Xəzər dənizi niyə göl kimi qəbul edilir?,Suyunun tərkibində minerallar az olduğuna görə,Fauna və flora zənginliyinin az olduğu üçün,Onun duzluluğu dünya okeanından fərqli olduğu üçün,Dünya okeanı ilə əlaqəsi olmadığı üçün və yalnız ətraf ölkələrlə sərhədlənmiş böyük su hövzəsi kimi təsnif edilir,Dəniz səviyyəsi sabit qalmadığına görə,d
46,Dünya okeanının suyu ən çox hansı qazla zəngindir?,Kükürd qazı,Hidrogen,"Azot, çünki atmosferdə ən çox rast gəlinən qazdır",Karbon qazı,"Oksigen, çünki fotosintez prosesi və atmosferdən gələn qaz mübadiləsi okeanların səthi sularını oksigenlə zənginləşdirir",e
47,Suyun sıxlığı hansı amillərdən asılıdır?,Yerin cazibə qüvvəsindən,Yalnız temperaturdan,Təzyiqdən və minerallaşmadan,"Temperatur, təzyiq və duzluluq səviyyəsindən",Günəşin istilik paylamasından,d
48,İzobatlar nəyi ifadə edir?,Materiklərin kontur xəritələridir,"Coğrafi xətlərdir, hərarət eyni olan nöqtələri birləşdirir",Duzluluğu eyni olan nöqtələri göstərir,Okean səthində dərinliyi eyni olan nöqtələri birləşdirən coğrafi xətlərdir və suyun relyef xüsusiyyətlərini təsvir etmək üçün istifadə edilir,Okean cərəyanlarının hərəkət istiqamətlərini göstərən xətlər,d
49,Okeanların suyunun duzluluğu necə ölçülür?,Mineral qatılıq səviyyəsi ilə,Qazların miqdarı ilə,Suyun şəffaflıq dərəcəsi ilə,Temperatur fərqləri ilə,"Promil (%o) vahidi ilə, yəni hər 1 litr suda həll olunan duz miqdarını ölçərək",e
50,Kadastr qiymətləndirməsi aiddir:,Əlvan metal filizlərinə.,Neftə;,Dəmir filizinə;,"Torpaq, su, meşəyə;",Təbii qaza;,d
51,Kadastr qiymətləndirilməsi ilə qiymətləndirilmir:,Meşə;,Su,Torpaq;,Neft.,"Torpaq,su,meşə",d
52,Ətraf mühitin iqtisadiyyatıfənninin predmetinə aid deyil?,təbii sərvətlərin istehlakı,təbii resursların hasilatı,kompleks istehsallar,təbii resursların istifadəsi,təbii resursların email,c
53,Ətraf mühitin iqtisadiyyatının tədqiqat obyektinə aid olmayan:,elektroenergetika sənayesi,təbii resurs potensialı;,təbii şəraitin qiymətləndirilməsi;,təbii ehtiyatların qiymətləndirilməsi;,təbiətlə cəmiyyətin qarşılıqlı əlaqəsi;,a
54,İqtisadiyyat elmlərinə aid olan elmdir:,biologiya elmləri;,təbiət elmləri;,ekologiya elmləri.,ətraf mühitin iqtisadiyyatı,coğrafiya elmləri;,d
55,Təbii ehtiyatların qiymətləndirilməsinin ən əsas üsulu budur:,Məsrəf.,Gəlir,Renta.,Kapital.,İcarə.,c
56,Təbii ehtiyatlar qiymətləndirilir:,Genetik üsulla;,Qraflar üsulu ilə;,Həcm üsulu;,Çirklənmə dərəcəsinə görə.,Alternativ dəyərlər;,e
57,İqtisadiyyat elmlərinə aid olan elmdir:,təbiət elmləri;,coğrafiya elmləri;,ekologiya elmləri.,ətraf mühitin iqtisadiyyatı,biologiya elmləri;,d
58,Təbiətdə baş verən hadisələr hansı elm tərəfindən tənzimlənir?,ekologiya,coğrafiya,geomorfologiya,geologiya,ətraf mühitin iqtisadiyyatı,e
59,Ətraf mühitin iqtisadiyyatı elminin tədqiqat obyekti hansı sistemdir:,ərazi-istehsal kompleksi;,məhəlli ərazi-istehsal kompleksi.,təbii-ərazi kompleksi;,təbii-texnogen kompleks;,ekoloji –iqtisadi sistem;,e
60,Ətraf mühitin mühafizə problemləri hansı səviyyədə və kompleksdə həll olunmalıdır:,iqtisadi rayon səviyyəsində,kosmik səviyyədə;,ekoloji-iqtisadi kompleks səviyyəsində;,təbii-ərazi kompleksində;,təbii-texnogen kompleks səviyyədə;,c
61,Təbii komponentlər (ünsürlər) hansılardır?,"Biosfer, Litosfer.","Ot, bitki və heyvanat aləmi.","Hidrosfer, Biosfer.","Təbii ehtiyatlar, şərait.","Torpaq, su, hava, günəş enerjisi.",e
62,Ekoloji norma nədir?,Atmosferin çirklənməsi.,Ətraf mühitin keyfiyyəti.,Torpağın çirklənməsi.,Meşələrin çirklənməsi.,Suyun çirklənməsi.,b
63,Ətraf mühitin keyfiyyət göstərijiləri hansılardır?,Təbii ərazi kompleksləri.,Sənaye qovşaqları.,Ekoloji normativlər.,Ərazi istehsal kompleksləri.,Şəhərlər.,c
64,Ətraf mühitə təsir kim tərəfindən baş verir?,Başqa planetlərdən gəlmələr.,Quşlar.,Heyvanlar.,İnsanlar.,Meşələr,d
65,Təsərrüfat fəaliyyəti nəticəsində ətraf hansı təsirə məruz qalır?,Denudasion,Erroziya.,Radioaktiv.,Biokimyəvi.,"Fiziki, kimyəvi, bioloji və radioaktiv.",e
66,Ekoloji məhdudiyyətlər lazımdır:,Torpağı genişləndirmək üçün.,Kənd təsərrüfatı üçün.,Sənayeni inkişaf etdirmək üçün.,Təbii ehtiyatlardan istifadə üçün.,İqtisadiyyatı inkişaf etdirmək üçün.,d
67,Uçan qurğularla aparılan tədqiqat metodudur?,normativ,tarixi,dialektik,kosmik,kartoqrafik,d
68,Renta nədir?,sadə birlikdir,İcarə forması,sahə ölçüsü,qiymətləndirmə forması,ekoloji sistemdir,d
69,Ekoloji menecmentin məqsədi:,təbiətdən səmərəli istifadə və resurs qoruyucu fəaliyyətdə beynəlxalq və milli aktların tələblərinə əməl etməkdir;,təbiəti mühafizə problemlərinin həlli üçün menecmentdən istifadə maraqlarını artırmaqdır;,müəssisə və təşkilatlarda təbiəti mühafizə fəaliyyətini yaxşılaşdırmaqdır.,idarəetmədə iqtisadi və ekoloji maraqları təmin etmək və təhlükəsiz əmək şəraiti yaratmaqdır;,hüquqi və fiziki şəxslərin təbiətdən istifadə fəaliyyətində hüquqlarını təmin etməkdir;,d
70,Səmərəsiz istifadə nəticəsində nə baş verir?,Faydalı qazıntılar artır,Təbii resurslar bərpa olunur,Ətraf mühitə ziyan dəyir,İnsan sağlamlığı qorunur,,c
71,Təbii resurslardan səmərəli istifadə nəyi təmin edir?,Torpağın çirklənməsini,Bioloji növlərin məhvini,Ekosistemlərə ekoloji yükün azalmasını,Daha çox tullantıların yaranmasını,,c
72,Azərbaycanda səhralaşma prosesinin intensiv inkişaf etdiyi ərazi hansı regionda yerləşir?,Şərq regionu,Şimal regionu,Qərb regionu,Cənubi Qafqaz,,d
73,Filizçay polimetal yatağı hansı vəziyyətdə istismar edilir?,İstismar edilmir,Tamamilə müasir üsullarla,Köhnə texnologiyalarla,Ekoloji standartlara uyğun,,c
74,Azərbaycanın ən böyük ekoloji problemlərindən biri hansıdır?,Meşə qırılması,Tullantıların yığılması,Torpağın səhralaşması,Çayların quruması,,c
75,İnsan mühitə daha çox hansı fəaliyyət növü zamanı təsir edir?,Təsərrüfat fəaliyyəti,Turizm fəaliyyəti,Elm-tədqiqat işləri,İstirahət zamanı,,a
76,XIX əsrdə hansı səbəbdən təbii sərvətlər geniş şəkildə istismar edilirdi?,Yeni torpaqların kəşfi,Kapitalizmin inkişafı,Dəniz ticarətinin artması,İqlim dəyişiklikləri,Feodalizmin güclənməsi,b
77,Çar Aleksey Mixayıloviçin dövründə ovla bağlı hansı tədbirlər görülmüşdür?,Çay suyunun təmizlənməsi,Xəz-dərili heyvanların ovlanması qadağan edilmişdir,Balıq ovunun tamamilə dayandırılması,Ov müddəti və qadağan olunan zonalar müəyyən edilmişdir,Torpaq eroziyasının qarşısının alınması,d
78,1872-ci ildə yaradılan ilk milli parkın adı nədir?,Yellowstone,Belovejskaya,Lelo-Uston,Moskva Təbiət Qoruğu,Xarkov Təbiət Parkı,c
79,Rus çarı I Pyotr hansı sahədə meşələrin mühafizəsi barədə fərman vermişdir?,Moskva və Sank-Peterburq ətrafında botanika bağlarının salınması,Torpağın qorunması,Palıd meşələrinin salınması,Çay suyunun təmizlənməsi,Ovun tamamilə qadağan edilməsi,c
80,Rusiyada təbiəti mühafizəyə dair ilk yazılı fərmanlar hansı dövrlərdə verilmişdir?,XX əsr,XIII əsr,XIV əsr,XI-XII əsrlər,XVIII əsr,d
81,1864-cü ildə “İnsan və təbiət” adlı kitabın müəllifi kimdir?,Corc Marş,K. Linney,Ç. Darvin,Jan Jak Russo,Saradaş,a
82,Feodalizmdə təbiətin mühafizəsi hansı əsas məqsədə xidmət edirdi?,Heyvanların nəsillərinin qorunması,Yeni ərazilərin işğalı,Tülkü,Meşələrin qorunması,Torpaqların becərilməsi,a
83,İngiltərədə eramızın əvvəlində ovlamaq qadağan edilən heyvanlardan biri hansıdır?,Ayı,Pələng,Tülkü,Maral,Bizon,d
84,Qədim Hindistanda Aşokan dövründə hansı tədbirlər görülmüşdür?,Meşələrin yandırılması,Balıqların ovlanması qadağan edilmişdir,Torpaqların becərilməsi,Gənc heyvanların və quşların mühafizəsi,Botanika bağlarının salınması,d
85,Təbiəti mühafizə hansı dövrdən inkişaf etdirilmişdir?,XXI əsr,Qədim dövrlər,Yeni dövr,Orta əsrlər,XX əsr,b
86,Kartoqrafik metodun təhlükəli hadisələrlə bağlı hansı rolu var?,Regionların iqtisadi inkişafı,Ekoloji tarazlığın təmin edilməsi,Normativ sənədlərin hazırlanması,Hüquqi tənzimləmə,Təbii mühafizə tədbirlərinin tətbiqi,e
87,Kosmik tədqiqatlar metodu vasitəsilə hansı proseslər izlənir?,Yeraltı su ehtiyatları,Təbii resursların təkrar istifadəsi,Qlobal təbii proseslər və kosmik hadisələr,İnsan fəaliyyətinin ekoloji təsiri,Ətraf mühitdə tullantılar,c
88,Dialektik metodun əsas xüsusiyyəti nədir?,Normativlərə uyğunluq,Tarixi məlumatlardan istifadə,Təbii resursların istifadəsi,Vahid təcrübə ilə nəzəriyyənin birləşməsi,Ekoloji bərpa,d
89,Yer səthində ən geniş yayılmış su dövranı hansıdır?,Yalnız yeraltı suların dövranı,"Kiçik su dövranı, çünki okeanlarda yaranan buxarın yenidən yağıntı ilə qayıtması geniş yayılmışdır","Şirin su dövranı, çünki bu təbiət üçün ən vacibdir","Böyük su dövranı, çünki okean üzərində yaranan su buxarı küləklərlə quruya daşınır, orada yağıntı şəklində düşür və sonda çaylarla okeana qayıdır","Kontinental su dövranı, çünki buxar quru üzərində yaranır və yağıntı ilə yenidən quruya qayıdır",d
90,Sakit okeanın su həcmi təxminən nə qədərdir?,"1340,74 milyon kub kilometr","710,36 milyon kub kilometr, Sakit okeanı ən iri su hövzəsi","18,07 milyon kub kilometr","282,65 milyon kub kilometr","329,66 milyon kub kilometr",b
91,Okean səthində suyun duzluluğuna təsir edən əsas amillər hansılardır?,Materiklərin yaxınlığı və relyefi,Vulkanik fəaliyyət nəticəsində yaranan qazlar,"Yağıntı miqdarı, buxarlanma intensivliyi, aysberqlərin əriməsi və çayların okeana axması",Çaylardan gətirilən minerallar və duzlar,Günəşdən gələn istilik və küləklər,c
92,Daxili dənizlər hansı xüsusiyyətə malikdir?,Su duzluluğu nisbətən az olan dənizlərdir,Adalarla əhatə olunmuş dənizlərdir,Okeanlardan tamamilə ayrı yerləşən qapalı sular,Materiklərin daxilində yerləşən və yalnız boğazlarla okeanlara bağlı olan dənizlərdir,Çayların gətirdiyi sularla qidalanır,d
93,Hidrosferin əsas enerji mənbəyi nədir?,Vulkanik fəaliyyətlərdən yaranan istilik enerjisi,Okean cərəyanlarının yaratdığı hərəkət enerjisi,Quru sularının axın gücü,"Günəş şüaları, çünki Günəş hidrosferdə suyun dövranını təmin edir və enerji mənbəyi olaraq hidrosferin bütün proseslərini idarə edir",Yerin daxili istiliyi və litosferin hərəkətləri,d
94,Xəzər dənizinin ən dərin hissəsi harada yerləşir?,Kür-Araz deltasında,"Şimal hissəsində, Volqa çökəkliklərində","Cənub hissəsində, Lənkəran çökəkliyində, hansı ki, maksimum 1025 metr dərinlikdə yerləşir","Mərkəzi hissəsində, Dərbənd çökəkliklərində","Şərq sahillərində, Türkmənistan sərhədində",c
95,Dəniz suyunda oksigenin miqdarı nədən asılıdır?,Vulkanik fəaliyyətdən,Duzluluq səviyyəsindən,Temperaturdan və okean sularının qarışma dərinliyindən,Günəş şüalarının təsirindən,Çaylardan gətirilən süxur miqdarından,c
96,Hidrosferin Yerin landşaftına təsiri necə baş verir?,Suyun dövranı relyefə heç bir təsir göstərmir,İsti bulaqlar relyef dəyişikliklərini idarə edir,Hidrosfer yalnız çaylarla relyefi dəyişir,Yalnız yeraltı sular vasitəsilə relyef formalaşdırılır,"Suyun böyük dövranı nəticəsində, atmosfer yağıntıları torpaqda mineral maddələri həll edir",e
97,Dünya okeanının əsas morfoloji xüsusiyyətləri arasında ən dərin çökəklik hansıdır?,Bellinshauzen çökəkliyi,Qrenlandiya dənizi çökəkliyi,Puerto-Riko çökəkliyi,Mariana çökəkliyi,Yava yarğanı,d
98,Okeanların ən yüksək səth temperaturu harada müşahidə olunur?,Tropik enliklərdə,Qütb enliklərində,5°-10° şimal enlikləri arasında olur,20°-30° şimal enlikləri arasında,Mülayim enliklərdə,c
99,Dünya okeanında ən yüksək duzluluğa malik olan dəniz hansıdır?,Aralıq dənizi,Sarqass dənizi,Qırmızı dənizdir,Qara dəniz,Ölü dəniz,c
100,Hidrosferdə suların yenilənmə müddəti hansı ərazilərdə ən uzun çəkir?,"Okeanlarda, təxminən 3.200 il ərzində tamamilə yenilənir","Qar örtüklərində, 2 ildən 6 ilə qədərdir","Yeraltı dərin qrunt sularında, hansı ki, təxminən 10.000 il ərzində tamamilə yenilənir və bu müddət digər mühitlərdən xeyli uzundur",Atmosferdə rütubət halında olan suların yenilənməsi təxminən 9 gün çəkir,"Çay sularında, təxminən 19 gün ərzində",c
101,Ekoloji menecment konsepsiyasında mühüm rol oynayan funksiya:,səmərəlilikdir,tullantıların utilizasiyasıdır;,yerləşdirmədir;,idarəetmədir,təhlükəsizlikdir;,d
102,ətraf mühitin keyfiyyət göstəriciləri hansılardır?,Şəhərlər,Təbii ərazi kompleksləri,Sənaye qovşaqları,Ekoloji normativlər,Ərazi istehsal kompleksləri,d
103,Ətraf mühiitn mühafizəsində tənzimləmə üsulları içərisində hansı daha çox tətbiq olunur?,müvəqqəti,daimi,birbaşa,xüsusi,bioloji,c
104,ətraf mühitin mühafizəsinin iqtisadi metodlarına aiddir:,informativ və inzibati;,plan və proqnozlaşma;,komplekslilik və qanunçuluq;,hüquqi və qanunçuluq,subsidiyalar və limitlər;,e
105,Ətraf mühitin iqtisadiyyatının tənzimləmə mexanizminə aid deyil:,"ekoloji menecment, marketinq və sığortanın tətbiqi",ƏMİ-nin planlaşdırma və proqnozlaşdırılması,təbiətdən istifadə və mühafizənin səmərəli iqtisadi stimullaşdırılması,təbiəti mühafizə tədbirlərinin maliyyələşmə və kreditləşməsi,"ətraf mühitin mühafizəsində monitorinq,uçot və nəzarət",a
106,Hansı sosial sahə demoqrafik partlayışdan ən çox təsirlənir?,Kənd təsərrüfatı,Təhsil,Hamısı,Doğru cavab yoxdur,Səhiyyə,c
107,Demoqrafik partlayışın ilkin mərhələsi adətən hansı dövrdə başlayır?,Kənd təsərrüfatı inqilabı zamanı,İkinci Dünya müharibəsindən sonra,Sənaye inqilabı dövründə,Postmodern dövrdə,Doğru cavab yoxdur,c
108,Azərbaycan Respublikası demoqrafik partlayış yaşayan ölkələr qrupuna daxildirmi?,Dəyişmir,Zamanla dəyişir,Xeyr,Qismən,Bəli,c
109,Demoqrafik partlayışın əsas təsiri nədir?,Miqrasiya azalması,Təhsil səviyyəsinin yüksəlməsi,Şəhərləşmənin azalması,Hamısı,Resursların çatışmazlığı,e
110,Demoqrafik partlayışın əsas səbəbi nədir?,Miqrasiyanın artması,Texnologiyanın inkişafı,Doğru cavab yoxdur,Təhsil səviyyəsinin yüksəlməsi,Ölüm səviyyəsinin azalması və doğum səviyyəsinin yüksək olması,e
111,Demoqrafik partlayış adətən hansı bölgələrdə müşahidə olunur?,İnkşaf etmiş ölkələrdə,Yüksək inkişaf etmiş ölkələrdə,Şimal yarımkürəsində,İnkişaf etməkdə olan ölkələrdə,Sənayeləşmiş ölkələrdə,d
112,Demoqrafik partlayış nədir?,Hamısı,Qısa müddət ərzində əhalinin sürətlə artması,Doğum səviyyəsinin kəskin azalması,Əhalinin miqrasiya nəticəsində artması,Şəhərlərdə əhali sıxlığının artması,b
113,Azərbaycan əhalisinin təbii artımı əsasən hansı bölgələrdə daha yüksəkdir?,Dağlıq ərazilərdə,Kənd ərazilərində,Şimal bölgəsi,Aran bölgəsində,Şəhər ərazilərində,b
114,Təbii artımın yüksək olduğu cəmiyyətlərdə əsas sosial problemlər hansılardır?,Təhsil səviyyəsinin yüksəlməsi,doğru cavab yoxdur,Yaşlı əhalinin çoxluğu,Urbanizasiya problemləri,Resurs çatışmazlığı,e
115,Təbii artımın aşağı olduğu ölkələr hansı problemlərlə üzləşir?,Demoqrafik partlayış,Hamısı,Miqrasiya artımı,İşçi qüvvəsinin azalması,Şəhərlərin həddən artıq sıxlığı,d
116,Əhalinin təbii artımını artırmaq üçün dövlətlər hansı tədbirləri görürlər?,Doğru cavab yoxdur,Doğum üçün stimullaşdırıcı tədbirlər görmək,Ailə planlaşdırma proqramlarını azaldır,Miqrasiya proseslərini gücləndirmək,Şəhərləşmə prosesini sürətləndirmək,b
117,Təbii artımın yüksək olduğu ölkələrə misal olaraq hansı qitəni göstərmək olar?,Fransa,Avstraliya,Afrika,Asiya,Avropa,c
